filename;result
125-121124-0082.wav;no said the banker I have appeared rather ridiculous instead of fair benedetto so I remain in the background you're wrong how are you to blame in that affair
289-121665-0037.wav;and after pondering the matter for a time she became discouraged and thinking she was no better off than before the tales were found she began to weep and to bewail her Misfortune but amidst her tears she thought herself of her needle and thread
3857-180923-0011.wav;at the time of his death in 1897 he was Electra in the Yale law school and member of the Supreme Court of errors
322-124147-0003.wav;mr. Collins was also in the same stage of angry Pride Elizabeth had hoped that his resentment might shorten his visit with his plan did not appear in the least affected by it he was always to have going on Saturday
2277-149874-0018.wav;it was under such auspicious circumstances that she started out this morning to look for work
6295-64301-0008.wav;the nettle and the doc said Joseph
250-142276-0014.wav;too plainly for beauty if his features had been less finally cut as it was they had a Grace if not a communist of their own the face was in Repose but it was rather rest after weariness
5652-39938-0036.wav;the patient must be brought under conditions and influences which give are chances for the recuperation of his energies to often from the standpoint of the psychologist the prescription is simply rest
254-127705-0032.wav;to this they replied that Anaya had never consented to the sale of their Valley and had never received pay for it the other Chief they said had no right to sell their territory
6925-80680-0069.wav;how do you think our princess is looking now very fine no doubt crumble duperret but what is the use of dressing up like that for oneself only she have to have a husband why doesn't she marry the man who got her all these Splendid things
